Corrupted rows - age vs hh-size:
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 53    | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 4+
  Age: 25 - 34 years        | HH-Size: 59    | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 25 - 34 years        | HH-Size: 34    | howmany: 2
  Age: 25 - 34 years        | HH-Size: 31    | howmany: 2
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 3
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 52    | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: nan
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 3
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 45    | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: nan
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 4+
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 51    | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 4+
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 54    | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: nan
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: nan
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 34    | howmany: 2
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 2
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 65 and older         | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 55 - 64 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 25 - 34 years        | HH-Size: 33    | howmany: 1 (just me!)
  Age: 18 - 24 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 35 - 44 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
  Age: 45 - 54 years        | HH-Size: 1 (just me!) | howmany: 1 (just me!)
