Game Data from Excel:
================================================================================
Row 0: ('ModelOff 2016 - Round 1 - Section 3', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
Row 4967: (None, None, 4959, 2480, 3, 3, 4, 5, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 4968: (None, None, 4960, 2480, 6, 3, 3, 5, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 4969: (None, None, 4961, 2481, 6, 6, 2, 4, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 4970: (None, None, 4962, 2481, 6, 5, 6, 6, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 4971: (None, None, 4963, 2482, 5, 3, 5, 6, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 4972: (None, None, 4964, 2482, 2, 4, 6, 5, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 4973: (None, None, 4965, 2483, 2, 1, 6, 6, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 4974: (None, None, 4966, 2483, 5, 6, 6, 1, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 4975: (None, None, 4967, 2484, 1, 6, 5, 1, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 4976: (None, None, 4968, 2484, 4, 6, 2, 5, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 4977: (None, None, 4969, 2485, 1, 3, 5, 4, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 4978: (None, None, 4970, 2485, 1, 5, 5, 3, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 4979: (None, None, 4971, 2486, 1, 4, 2, 6, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 4980: (None, None, 4972, 2486, 2, 2, 2, 4, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 4981: (None, None, 4973, 2487, 2, 6, 1, 1, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 4982: (None, None, 4974, 2487, 3, 3, 5, 4, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 4983: (None, None, 4975, 2488, 2, 4, 3, 1, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 4984: (None, None, 4976, 2488, 1, 2, 1, 2, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 4985: (None, None, 4977, 2489, 3, 1, 6, 6, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 4986: (None, None, 4978, 2489, 5, 1, 3, 1, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 4987: (None, None, 4979, 2490, 3, 6, 4, 6, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 4988: (None, None, 4980, 2490, 5, 2, 5, 3, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 4989: (None, None, 4981, 2491, 2, 4, 2, 2, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 4990: (None, None, 4982, 2491, 5, 3, 2, 4, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 4991: (None, None, 4983, 2492, 3, 3, 6, 6, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 4992: (None, None, 4984, 2492, 6, 2, 1, 6, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 4993: (None, None, 4985, 2493, 2, 1, 2, 3, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 4994: (None, None, 4986, 2493, 5, 1, 6, 3, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 4995: (None, None, 4987, 2494, 2, 4, 3, 4, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 4996: (None, None, 4988, 2494, 2, 6, 2, 2, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 4997: (None, None, 4989, 2495, 3, 1, 1, 3, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 4998: (None, None, 4990, 2495, 6, 6, 2, 5, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 4999: (None, None, 4991, 2496, 1, 5, 1, 1, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5000: (None, None, 4992, 2496, 5, 4, 1, 6, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5001: (None, None, 4993, 2497, 3, 1, 6, 2, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5002: (None, None, 4994, 2497, 5, 5, 5, 2, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5003: (None, None, 4995, 2498, 3, 4, 1, 2, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5004: (None, None, 4996, 2498, 5, 5, 3, 1, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5005: (None, None, 4997, 2499, 2, 6, 3, 6, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5006: (None, None, 4998, 2499, 6, 5, 1, 4, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5007: (None, None, 4999, 2500, 5, 3, 2, 2, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5008: (None, None, 5000, 2500, 6, 3, 5, 6, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5009: (None, None, 5001, 2501, 2, 4, 4, 1, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5010: (None, None, 5002, 2501, 6, 2, 2, 4, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5011: (None, None, 5003, 2502, 4, 3, 1, 2, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5012: (None, None, 5004, 2502, 4, 3, 2, 1, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5013: (None, None, 5005, 2503, 3, 2, 1, 6, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5014: (None, None, 5006, 2503, 4, 6, 5, 5, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5015: (None, None, 5007, 2504, 1, 4, 4, 2, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5016: (None, None, 5008, 2504, 6, 5, 5, 6, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5017: (None, None, 5009, 2505, 2, 1, 4, 5, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5018: (None, None, 5010, 2505, 4, 5, 1, 3, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5019: (None, None, 5011, 2506, 2, 2, 4, 5, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5020: (None, None, 5012, 2506, 4, 6, 1, 4, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5021: (None, None, 5013, 2507, 5, 3, 6, 1, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5022: (None, None, 5014, 2507, 5, 6, 3, 3, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5023: (None, None, 5015, 2508, 1, 1, 2, 2, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5024: (None, None, 5016, 2508, 2, 4, 6, 5, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5025: (None, None, 5017, 2509, 4, 4, 4, 6, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5026: (None, None, 5018, 2509, 3, 6, 2, 1, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5027: (None, None, 5019, 2510, 1, 5, 6, 4, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5028: (None, None, 5020, 2510, 6, 3, 6, 6, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5029: (None, None, 5021, 2511, 4, 5, 4, 4, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5030: (None, None, 5022, 2511, 2, 4, 3, 1, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5031: (None, None, 5023, 2512, 1, 1, 6, 4, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5032: (None, None, 5024, 2512, 2, 5, 6, 4, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5033: (None, None, 5025, 2513, 6, 6, 3, 2, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5034: (None, None, 5026, 2513, 3, 5, 2, 5, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5035: (None, None, 5027, 2514, 2, 4, 6, 4, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5036: (None, None, 5028, 2514, 6, 1, 6, 2, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5037: (None, None, 5029, 2515, 4, 5, 4, 2, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5038: (None, None, 5030, 2515, 5, 4, 3, 4, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5039: (None, None, 5031, 2516, 2, 1, 1, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5040: (None, None, 5032, 2516, 6, 2, 1, 4, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5041: (None, None, 5033, 2517, 6, 2, 5, 2, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5042: (None, None, 5034, 2517, 3, 2, 1, 2, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5043: (None, None, 5035, 2518, 4, 1, 1, 4, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5044: (None, None, 5036, 2518, 1, 6, 1, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5045: (None, None, 5037, 2519, 6, 3, 2, 3, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5046: (None, None, 5038, 2519, 2, 6, 6, 4, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5047: (None, None, 5039, 2520, 4, 1, 5, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5048: (None, None, 5040, 2520, 4, 1, 2, 3, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5049: (None, None, 5041, 2521, 1, 3, 4, 1, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5050: (None, None, 5042, 2521, 6, 1, 1, 4, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5051: (None, None, 5043, 2522, 6, 3, 5, 6, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5052: (None, None, 5044, 2522, 5, 6, 5, 2, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5053: (None, None, 5045, 2523, 3, 2, 4, 4, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5054: (None, None, 5046, 2523, 5, 4, 1, 4, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5055: (None, None, 5047, 2524, 1, 2, 3, 5, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5056: (None, None, 5048, 2524, 3, 3, 5, 2, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5057: (None, None, 5049, 2525, 2, 1, 5, 4, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5058: (None, None, 5050, 2525, 6, 5, 2, 3, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5059: (None, None, 5051, 2526, 6, 4, 4, 4, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5060: (None, None, 5052, 2526, 6, 2, 5, 4, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5061: (None, None, 5053, 2527, 6, 6, 1, 3, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5062: (None, None, 5054, 2527, 2, 4, 3, 5, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5063: (None, None, 5055, 2528, 3, 2, 2, 3, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5064: (None, None, 5056, 2528, 4, 3, 6, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5065: (None, None, 5057, 2529, 2, 3, 1, 2, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5066: (None, None, 5058, 2529, 6, 5, 6, 2, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5067: (None, None, 5059, 2530, 1, 5, 4, 5, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5068: (None, None, 5060, 2530, 3, 5, 6, 5, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5069: (None, None, 5061, 2531, 6, 2, 2, 2, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5070: (None, None, 5062, 2531, 6, 2, 1, 2, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5071: (None, None, 5063, 2532, 2, 1, 2, 5, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5072: (None, None, 5064, 2532, 2, 6, 6, 4, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5073: (None, None, 5065, 2533, 4, 2, 2, 2, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5074: (None, None, 5066, 2533, 3, 4, 5, 2, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5075: (None, None, 5067, 2534, 4, 6, 3, 1, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5076: (None, None, 5068, 2534, 4, 1, 4, 5, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5077: (None, None, 5069, 2535, 3, 3, 4, 4, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5078: (None, None, 5070, 2535, 1, 1, 3, 6, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5079: (None, None, 5071, 2536, 3, 5, 5, 4, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5080: (None, None, 5072, 2536, 3, 2, 4, 3, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5081: (None, None, 5073, 2537, 6, 5, 2, 6, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5082: (None, None, 5074, 2537, 1, 4, 6, 2, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5083: (None, None, 5075, 2538, 1, 5, 3, 3, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5084: (None, None, 5076, 2538, 5, 3, 3, 3, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5085: (None, None, 5077, 2539, 2, 5, 3, 6, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5086: (None, None, 5078, 2539, 6, 1, 4, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5087: (None, None, 5079, 2540, 3, 3, 1, 4, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5088: (None, None, 5080, 2540, 2, 3, 4, 3, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5089: (None, None, 5081, 2541, 5, 5, 4, 5, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5090: (None, None, 5082, 2541, 1, 2, 1, 1, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5091: (None, None, 5083, 2542, 2, 4, 4, 2, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5092: (None, None, 5084, 2542, 3, 2, 5, 1, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5093: (None, None, 5085, 2543, 5, 2, 1, 2, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5094: (None, None, 5086, 2543, 1, 6, 5, 5, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5095: (None, None, 5087, 2544, 1, 4, 6, 5, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5096: (None, None, 5088, 2544, 5, 2, 6, 3, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5097: (None, None, 5089, 2545, 1, 3, 3, 6, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5098: (None, None, 5090, 2545, 2, 4, 1, 3, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5099: (None, None, 5091, 2546, 4, 4, 6, 6, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5100: (None, None, 5092, 2546, 2, 5, 5, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5101: (None, None, 5093, 2547, 4, 4, 5, 1, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5102: (None, None, 5094, 2547, 4, 1, 1, 4, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5103: (None, None, 5095, 2548, 6, 6, 2, 1, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5104: (None, None, 5096, 2548, 1, 3, 1, 3, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5105: (None, None, 5097, 2549, 3, 6, 3, 4, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5106: (None, None, 5098, 2549, 3, 2, 4, 1, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5107: (None, None, 5099, 2550, 5, 5, 2, 5, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5108: (None, None, 5100, 2550, 5, 3, 4, 2, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5109: (None, None, 5101, 2551, 1, 3, 5, 1, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5110: (None, None, 5102, 2551, 1, 2, 4, 2, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5111: (None, None, 5103, 2552, 6, 5, 3, 5, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5112: (None, None, 5104, 2552, 4, 2, 3, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5113: (None, None, 5105, 2553, 4, 3, 6, 3, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5114: (None, None, 5106, 2553, 6, 1, 5, 3, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5115: (None, None, 5107, 2554, 2, 2, 1, 2, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5116: (None, None, 5108, 2554, 5, 6, 2, 1, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5117: (None, None, 5109, 2555, 1, 1, 5, 1, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5118: (None, None, 5110, 2555, 5, 5, 3, 5, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5119: (None, None, 5111, 2556, 1, 5, 4, 4, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5120: (None, None, 5112, 2556, 6, 5, 4, 5, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5121: (None, None, 5113, 2557, 5, 1, 4, 1, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5122: (None, None, 5114, 2557, 2, 5, 2, 2, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5123: (None, None, 5115, 2558, 5, 6, 1, 5, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5124: (None, None, 5116, 2558, 5, 3, 5, 1, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5125: (None, None, 5117, 2559, 3, 2, 4, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5126: (None, None, 5118, 2559, 3, 3, 1, 6, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5127: (None, None, 5119, 2560, 3, 3, 3, 2, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5128: (None, None, 5120, 2560, 5, 1, 6, 6, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5129: (None, None, 5121, 2561, 1, 2, 4, 5, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5130: (None, None, 5122, 2561, 3, 2, 3, 1, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5131: (None, None, 5123, 2562, 1, 4, 1, 6, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5132: (None, None, 5124, 2562, 3, 2, 1, 6, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5133: (None, None, 5125, 2563, 6, 1, 4, 6, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5134: (None, None, 5126, 2563, 6, 3, 1, 6, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5135: (None, None, 5127, 2564, 2, 5, 5, 4, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5136: (None, None, 5128, 2564, 6, 1, 3, 5, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5137: (None, None, 5129, 2565, 1, 1, 2, 3, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5138: (None, None, 5130, 2565, 4, 6, 6, 6, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5139: (None, None, 5131, 2566, 4, 2, 2, 6, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5140: (None, None, 5132, 2566, 5, 6, 4, 1, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5141: (None, None, 5133, 2567, 3, 5, 5, 5, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5142: (None, None, 5134, 2567, 2, 4, 2, 5, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5143: (None, None, 5135, 2568, 5, 4, 3, 2, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5144: (None, None, 5136, 2568, 4, 3, 4, 1, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5145: (None, None, 5137, 2569, 1, 6, 3, 2, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5146: (None, None, 5138, 2569, 4, 5, 2, 1, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5147: (None, None, 5139, 2570, 4, 1, 4, 4, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5148: (None, None, 5140, 2570, 5, 3, 5, 6, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5149: (None, None, 5141, 2571, 3, 6, 1, 4, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5150: (None, None, 5142, 2571, 4, 1, 1, 2, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5151: (None, None, 5143, 2572, 2, 4, 1, 4, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5152: (None, None, 5144, 2572, 3, 3, 6, 3, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5153: (None, None, 5145, 2573, 6, 2, 5, 5, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5154: (None, None, 5146, 2573, 4, 4, 2, 3, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5155: (None, None, 5147, 2574, 3, 5, 6, 4, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5156: (None, None, 5148, 2574, 2, 3, 2, 3, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5157: (None, None, 5149, 2575, 2, 3, 4, 1, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5158: (None, None, 5150, 2575, 2, 1, 4, 4, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5159: (None, None, 5151, 2576, 5, 3, 5, 6, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5160: (None, None, 5152, 2576, 3, 1, 2, 1, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5161: (None, None, 5153, 2577, 4, 3, 6, 6, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5162: (None, None, 5154, 2577, 6, 2, 2, 5, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5163: (None, None, 5155, 2578, 1, 1, 5, 1, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5164: (None, None, 5156, 2578, 2, 4, 1, 4, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5165: (None, None, 5157, 2579, 1, 1, 3, 1, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5166: (None, None, 5158, 2579, 1, 6, 5, 1, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5167: (None, None, 5159, 2580, 5, 6, 5, 4, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5168: (None, None, 5160, 2580, 1, 5, 4, 3, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5169: (None, None, 5161, 2581, 1, 1, 3, 6, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5170: (None, None, 5162, 2581, 6, 4, 3, 2, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5171: (None, None, 5163, 2582, 6, 3, 3, 2, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5172: (None, None, 5164, 2582, 2, 6, 3, 2, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5173: (None, None, 5165, 2583, 1, 1, 5, 4, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5174: (None, None, 5166, 2583, 6, 3, 5, 3, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5175: (None, None, 5167, 2584, 2, 5, 2, 1, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5176: (None, None, 5168, 2584, 2, 6, 6, 6, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5177: (None, None, 5169, 2585, 2, 6, 6, 3, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5178: (None, None, 5170, 2585, 4, 3, 1, 2, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5179: (None, None, 5171, 2586, 6, 4, 5, 6, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5180: (None, None, 5172, 2586, 5, 1, 5, 6, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5181: (None, None, 5173, 2587, 2, 4, 3, 4, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5182: (None, None, 5174, 2587, 6, 4, 5, 5, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5183: (None, None, 5175, 2588, 5, 1, 2, 1, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5184: (None, None, 5176, 2588, 1, 4, 5, 6, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5185: (None, None, 5177, 2589, 6, 3, 2, 2, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5186: (None, None, 5178, 2589, 3, 5, 3, 3, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 5187: (None, None, 5179, 2590, 6, 4, 4, 1, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5188: (None, None, 5180, 2590, 5, 3, 6, 1, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5189: (None, None, 5181, 2591, 4, 1, 6, 5, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5190: (None, None, 5182, 2591, 2, 2, 2, 5, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 5191: (None, None, 5183, 2592, 1, 6, 3, 4, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5192: (None, None, 5184, 2592, 1, 5, 6, 6, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 5193: (None, None, 5185, 2593, 5, 6, 5, 2, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 5194: (None, None, 5186, 2593, 3, 4, 3, 3, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5195: (None, None, 5187, 2594, 6, 2, 2, 2, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 5196: (None, None, 5188, 2594, 5, 2, 6, 5, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 5197: (None, None, 5189, 2595, 3, 3, 6, 1, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
